location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
United States of America,Male,DALYs,1995,409512.14938374463,409512.149383745,295114.21892444027,509146.4577845104,-3.4924596548080444e-10,-8.528341979752439e-14,True,0.0001
United States of America,Male,DALYs,1996,414230.92845229636,414230.9284522961,298374.2823100697,517312.98299914633,2.3283064365386963e-10,5.620793322309418e-14,True,0.0001
United States of America,Male,DALYs,1997,418521.39881604764,418521.3988160477,301472.9944623305,519450.712606706,-5.820766091346741e-11,-1.3907929457879731e-14,True,0.0001
United States of America,Male,DALYs,1998,422351.20447561506,422351.20447561535,303697.5535573275,522921.88394116703,-2.9103830456733704e-10,-6.890907412675327e-14,True,0.0001
United States of America,Male,DALYs,1999,426733.6664765475,426733.6664765473,308004.37871265004,531132.5374151999,1.7462298274040222e-10,4.092083574802722e-14,True,0.0001
United States of America,Male,DALYs,2000,430838.1484896812,430838.14848968136,307849.8291351926,534046.7829014997,-1.7462298274040222e-10,-4.0530993681165277e-14,True,0.0001
United States of America,Male,DALYs,2001,436177.567305389,436177.56730538927,314314.27835553593,540330.4359248969,-2.9103830456733704e-10,-6.672473010597697e-14,True,0.0001
United States of America,Male,DALYs,2002,441114.03096695605,441114.0309669558,320890.18419163267,544620.7319100301,2.3283064365386963e-10,5.278241618011719e-14,True,0.0001
United States of America,Male,DALYs,2003,445312.64941278903,445312.64941278886,320700.75468472665,552686.4145482151,1.7462298274040222e-10,3.9213568932000624e-14,True,0.0001
United States of America,Male,DALYs,2004,450289.40062388364,450289.4006238835,326517.9626859695,559868.60646048,1.1641532182693481e-10,2.585344484361378e-14,True,0.0001
United States of America,Male,DALYs,2005,454782.22169189545,454782.2216918952,326885.2061273146,563831.5068573935,2.3283064365386963e-10,5.1196074197378627e-14,True,0.0001
United States of America,Male,DALYs,2006,459294.0437840054,459294.0437840053,329555.0285191185,569594.2839470744,1.1641532182693481e-10,2.5346577732168913e-14,True,0.0001
United States of America,Male,DALYs,2007,463113.11439266003,463113.1143926597,333613.0455390588,572851.4387259879,3.4924596548080444e-10,7.54126701721276e-14,True,0.0001
United States of America,Male,DALYs,2008,467106.03359148913,467106.0335914888,335004.3787842065,579569.3654300633,3.4924596548080444e-10,7.47680270356431e-14,True,0.0001
United States of America,Male,DALYs,2009,470811.2447053379,470811.2447053378,338528.115764164,580139.03324938,1.1641532182693481e-10,2.4726538105476765e-14,True,0.0001
United States of America,Male,DALYs,2010,474160.9263641347,474160.9263641349,339131.3029326834,583982.4742686525,-1.7462298274040222e-10,-3.682778842183622e-14,True,0.0001
United States of America,Male,DALYs,2011,477166.82525805425,477166.8252580545,341820.0993459078,587198.6226066299,-2.3283064365386963e-10,-4.8794390416381843e-14,True,0.0001
United States of America,Male,DALYs,2012,478982.6044842854,478982.60448428505,344272.7957918337,590158.4339758089,3.4924596548080444e-10,7.291412302057055e-14,True,0.0001
United States of America,Male,DALYs,2013,480440.8589547606,480440.8589547605,344988.29125675093,591723.2539799694,1.1641532182693481e-10,2.42309369940363e-14,True,0.0001
United States of America,Male,DALYs,2014,482396.62669572036,482396.6266957207,348852.8886570836,591181.7186201251,-3.4924596548080444e-10,-7.239809446285718e-14,True,0.0001
United States of America,Male,DALYs,2015,484994.68468115776,484994.6846811577,348300.12014960987,598969.1118096722,5.820766091346741e-11,1.2001711101583296e-14,True,0.0001
United States of America,Male,DALYs,2016,488042.9258562718,488042.9258562716,350278.567565894,598362.1116290814,2.3283064365386963e-10,4.7707001027700204e-14,True,0.0001
United States of America,Male,DALYs,2017,490262.2644389338,490262.2644389337,353213.4490814189,598566.9272086212,1.1641532182693481e-10,2.3745519545576882e-14,True,0.0001
United States of America,Male,DALYs,2018,491782.18861173565,491782.18861173553,353607.16835763754,604940.332229301,1.1641532182693481e-10,2.3672130573814923e-14,True,0.0001
United States of America,Male,DALYs,2019,493548.05886383535,493548.0588638352,357484.9280866431,600249.0624009636,1.7462298274040222e-10,3.5381150752044373e-14,True,0.0001
United States of America,Male,DALYs,2020,493819.68913187354,493819.6891318739,359377.0860659351,602757.6008113157,-3.4924596548080444e-10,-7.072337801977328e-14,True,0.0001
United States of America,Male,DALYs,2021,496707.324076798,496707.3240767981,359373.3040112272,606672.2196036751,-1.1641532182693481e-10,-2.343740794305971e-14,True,0.0001
United States of America,Male,DALYs,2022,500995.6936702033,500995.6936702032,362337.1444360275,616781.6334446882,1.1641532182693481e-10,2.3236790914128894e-14,True,0.0001
United States of America,Male,DALYs,2023,499087.2313822248,499087.2313822245,362580.2286313593,610405.881902028,3.4924596548080444e-10,6.997693860321091e-14,True,0.0001
United States of America,Male,Incidence,1990,35897.178491570245,35897.17849157495,30748.09599253233,42985.147915875554,-4.7075445763766766e-09,-1.3113968211962772e-11,True,0.0001
United States of America,Male,Incidence,1991,35977.17407939833,35977.17407940252,30804.16626633679,42929.86148118568,-4.18367562815547e-09,-1.1628694401961627e-11,True,0.0001
United States of America,Male,Incidence,1992,36059.90907320962,36059.90907321501,30839.38847860809,42871.036211242026,-5.384208634495735e-09,-1.49312873295487e-11,True,0.0001
United States of America,Male,Incidence,1993,36141.51283535622,36141.51283536252,30862.619419154595,42855.29675518784,-6.300979293882847e-09,-1.7434188000336497e-11,True,0.0001
United States of America,Male,Incidence,1994,36233.30219588879,36233.30219589324,30943.393575554765,42938.38178139378,-4.445610102266073e-09,-1.2269403650352212e-11,True,0.0001
United States of America,Male,Incidence,1995,36338.365527394606,36338.36552739726,31078.72954900049,43059.50264125732,-2.6557245291769505e-09,-7.308321358523048e-12,True,0.0001
United States of America,Male,Incidence,1996,36504.40782691612,36504.40782691987,31204.97124605067,43126.643664984345,-3.754394128918648e-09,-1.0284769298873549e-11,True,0.0001
United States of America,Male,Incidence,1997,36746.20831447295,36746.20831447749,31487.08838772568,43325.744378507006,-4.540197551250458e-09,-1.23555538367252e-11,True,0.0001
United States of America,Male,Incidence,1998,37037.8392241831,37037.839224186384,31774.31916945756,43599.59444443795,-3.281456883996725e-09,-8.859741693175972e-12,True,0.0001
United States of America,Male,Incidence,1999,37338.917806799895,37338.91780680408,32049.39112855742,43923.1939035004,-4.18367562815547e-09,-1.1204597974162765e-11,True,0.0001
United States of America,Male,Incidence,2000,37612.7983427586,37612.79834276235,32278.24815095673,44204.48814075564,-3.747118171304464e-09,-9.96234881849865e-12,True,0.0001
United States of America,Male,Incidence,2001,38109.27553938464,38109.27553938914,32678.004936131063,44708.65887545805,-4.503817763179541e-09,-1.1818166835851986e-11,True,0.0001
