location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
United States of America,Female,DALYs,2022,247.74249552589453,178.52396490131622,305.8309854198492,247.7877626421967,"2010,2015"
United States of America,Female,DALYs,2023,247.86164747926725,176.80561033016937,305.02831248853687,247.26109255493716,"2010,2015"
United States of America,Female,Incidence,1990,24.55491470791,20.8947144376,29.32199115684,24.53906281389053,"2010,2015"
United States of America,Female,Incidence,1991,24.57064849948,20.90288223507,29.32059232932,24.53019822995366,"2010,2015"
United States of America,Female,Incidence,1992,24.57674259107,20.90140105085,29.3146841803,24.52133684829264,"2010,2015"
United States of America,Female,Incidence,1993,24.5745057863,20.88507583531,29.30772379631,24.512478667750678,"2010,2015"
United States of America,Female,Incidence,1994,24.56525129962,20.86398307708,29.30372404507,24.503623687171384,"2010,2015"
United States of America,Female,Incidence,1995,24.5502205833,20.83993127656,29.30494983055,24.494771905398792,"2010,2015"
United States of America,Female,Incidence,1996,24.51127474884,20.81270394345,29.25218370374,24.485923321277355,"2010,2015"
United States of America,Female,Incidence,1997,24.44335744325,20.75306484622,29.17722907249,24.47707793365194,"2010,2015"
United States of America,Female,Incidence,1998,24.36761003934,20.68668527582,29.09757395539,24.46823574136783,"2010,2015"
United States of America,Female,Incidence,1999,24.30546284253,20.63501592923,29.03620801064,24.459396743270734,"2010,2015"
United States of America,Female,Incidence,2000,24.27826772799,20.63372259419,29.01526120501,24.450560938206767,"2010,2015"
United States of America,Female,Incidence,2001,24.301103005,20.65834329633,29.05933214958,24.441728325022467,"2010,2015"
United States of America,Female,Incidence,2002,24.35903530441,20.73413425538,29.16951362654,24.432898902564787,"2010,2015"
United States of America,Female,Incidence,2003,24.428978171580003,20.82084540844,29.2891568478,24.424072669681095,"2010,2015"
United States of America,Female,Incidence,2004,24.487764940730003,20.89483464864,29.38952233289,24.415249625219182,"2010,2015"
United States of America,Female,Incidence,2005,24.51236718794,20.93400114552,29.44861673404,24.406429768027248,"2010,2015"
United States of America,Female,Incidence,2006,24.49787634634,20.89100434304,29.40244097269,24.397613096953908,"2010,2015"
United States of America,Female,Incidence,2007,24.45957448828,20.82442083628,29.32687327822,24.388799610848203,"2010,2015"
United States of America,Female,Incidence,2008,24.40713108763,20.74379885443,29.227937806030003,24.379989308559576,"2010,2015"
United States of America,Female,Incidence,2009,24.34940652377,20.65920460128,29.11341784009,24.3711821889379,"2010,2015"
United States of America,Female,Incidence,2010,24.29526361694,20.58046688874,28.99496309165,24.36237825083345,"2010,2015"
United States of America,Female,Incidence,2011,24.15137303936,20.4843881696,28.73277412637,24.092193100096782,"2010,2015"
United States of America,Female,Incidence,2012,23.87530057106,20.29241881247,28.30521609131,23.82500437339257,"2010,2015"
United States of America,Female,Incidence,2013,23.55289862653,20.06532810031,27.81914893969,23.560778839594093,"2010,2015"
United States of America,Female,Incidence,2014,23.26990842344,19.86759055135,27.39874754097,23.299483636116523,"2010,2015"
United States of America,Female,Incidence,2015,23.11180606192,19.76687810005,27.176168036790003,23.041086264829698,"2010,2015"
United States of America,Female,Incidence,2016,23.04879355567,19.74428117195,27.12941195513,23.023027148616755,"2010,2015"
United States of America,Female,Incidence,2017,22.994702339,19.72788868034,27.09191603882,23.00498218675724,"2010,2015"
United States of America,Female,Incidence,2018,22.95014004778,19.71389458445,27.058564697700003,22.98695136815727,"2010,2015"
United States of America,Female,Incidence,2019,22.91579227656,19.68007064559,27.03428048405,22.968934681731664,"2010,2015"
United States of America,Female,Incidence,2020,22.89220103631,19.62901810274,27.02907444101,22.950932116403916,"2010,2015"
United States of America,Female,Incidence,2021,22.88202141896,19.6421482191,27.03694976899,22.932943661106208,"2010,2015"
United States of America,Female,Incidence,2022,22.88766539089,19.59569713865,27.08053516496,22.914969304779397,"2010,2015"
United States of America,Female,Incidence,2023,23.03579326505,19.64945729368,27.07250696422,22.89700903637301,"2010,2015"
United States of America,Female,Prevalence,1990,435.1880400926101,361.33163503976,517.16221686159,434.0337214563418,"2010,2015"
United States of America,Female,Prevalence,1991,434.82937908548,361.11546516825,516.60800862894,433.9216679045273,"2010,2015"
United States of America,Female,Prevalence,1992,434.4399680863,361.14562351296,516.11311198387,433.80964328133706,"2010,2015"
United States of America,Female,Prevalence,1993,434.0549666716301,361.14799363755,515.69756089678,433.6976475793027,"2010,2015"
United States of America,Female,Prevalence,1994,433.70851926144,361.15821234806,515.38175449993,433.5856807909578,"2010,2015"
United States of America,Female,Prevalence,1995,433.43600175232,361.21486676824,515.1877547232899,433.4737429088376,"2010,2015"
United States of America,Female,Prevalence,1996,433.02990107428,360.82140334767,514.98976818078,433.3618339254796,"2010,2015"
