location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
China,Male,DALYs,50-54 years,52.0,40-44 years,2004-2008,1959,330.83564638876874,244.98462262684558,446.77181672822513,0.9462136243945223,0.7307120687645929,1.225270884746062,0.13186166672474217
China,Male,DALYs,55-59 years,57.0,40-44 years,2004-2008,1959,324.225521799418,238.61313542235533,440.5549124528881,0.9273081950260106,0.710336639219739,1.210553477161118,0.13599335605490354
China,Male,DALYs,60-64 years,62.0,40-44 years,2004-2008,1959,317.12766082237994,231.84334312601948,433.78408843944766,0.9070078046846404,0.688757508668061,1.1944162457840066,0.14043969017218838
China,Male,DALYs,65-69 years,67.0,40-44 years,2004-2008,1959,301.689987809031,216.76871412988683,419.88000486858255,0.8628549550941422,0.6497684938626107,1.145821443426184,0.14470942358327968
United States of America,Male,DALYs,15-19 years,17.0,40-44 years,2004-2008,1959,177.0245529576688,130.30574183196245,240.49356466789035,0.37379260838682304,0.28711478327490186,0.48663782648505144,0.13460155257716638
United States of America,Male,DALYs,20-24 years,22.0,40-44 years,2004-2008,1959,374.0507929864015,275.25662694870965,508.3038228170502,0.7898193738864043,0.6069754787469381,1.0277427428438082,0.13434483973300554
United States of America,Male,DALYs,25-29 years,27.0,40-44 years,2004-2008,1959,468.92456049086735,345.055076593743,637.2612905807061,0.9901481555750068,0.763402378608679,1.2842419639501004,0.13268843260839455
United States of America,Male,DALYs,30-34 years,32.0,40-44 years,2004-2008,1959,493.981131349502,363.4346149333691,671.4202448054411,1.0430558501405056,0.8047723487600038,1.3518922564731184,0.13232171444309573
United States of America,Male,DALYs,35-39 years,37.0,40-44 years,2004-2008,1959,489.1107594206958,364.13046612583923,656.987967874171,1.03277191496504,0.7990378315279923,1.3348777570404557,0.13091497592875204
United States of America,Male,DALYs,40-44 years,42.0,40-44 years,2004-2008,1959,473.59029843220776,352.6857590533201,635.9422375633802,0.8286888680609801,0.6816990173099853,1.0073730819769064,0.0996206826077764
United States of America,Male,DALYs,45-49 years,47.0,40-44 years,2004-2008,1959,450.74719943590094,335.21024607003875,606.1062875651388,0.9517661171017918,0.7337239328722226,1.2346043260671125,0.13274820647036475
United States of America,Male,DALYs,50-54 years,52.0,40-44 years,2004-2008,1959,423.9846536798034,314.5795226536639,571.4389323232992,0.8952562058035807,0.6874434721735138,1.1658902971261689,0.13476037597436588
United States of America,Male,DALYs,55-59 years,57.0,40-44 years,2004-2008,1959,397.71780109105623,293.8571215241307,538.2869351073928,0.8397929653704422,0.6413042607254256,1.099715482769316,0.13757723553100407
United States of America,Male,DALYs,60-64 years,62.0,40-44 years,2004-2008,1959,371.2723939236753,272.8679696065991,505.16442325036854,0.7839527016341983,0.5947131246207934,1.033408904152626,0.14095384857126234
United States of America,Male,DALYs,65-69 years,67.0,40-44 years,2004-2008,1959,339.31184514112454,244.92967175375202,470.0636204209129,0.7164670523538936,0.5393536240255435,0.951741147630383,0.14487797551632173
China,Male,Incidence,15-19 years,17.0,40-44 years,2004-2008,1959,29.99776321845838,25.947804932340727,34.67984287908389,1.117004710891389,0.988512099595172,1.2621995468386573,0.06234955796684223
China,Male,Incidence,20-24 years,22.0,40-44 years,2004-2008,1959,40.69413441616009,35.19621889385531,47.050865914736605,1.51529764127641,1.341946308138805,1.7110423328653408,0.06198512940973331
China,Male,Incidence,25-29 years,27.0,40-44 years,2004-2008,1959,36.48830007644121,31.569106888791115,42.17401674233437,1.3586880722068067,1.206583330496659,1.5299674965650127,0.060574953939603
China,Male,Incidence,30-34 years,32.0,40-44 years,2004-2008,1959,31.113197253185202,26.93618500276252,35.93794159107282,1.1585393100681634,1.029167243003726,1.3041741680932577,0.06041327698590926
China,Male,Incidence,35-39 years,37.0,40-44 years,2004-2008,1959,27.892710843833715,24.267231224751107,32.05983043604095,1.0386204193025412,0.923103278949573,1.1685933741018757,0.06015687169963198
China,Male,Incidence,40-44 years,42.0,40-44 years,2004-2008,1959,26.855538679438197,23.339915487900576,30.90070990774075,1.131091285659454,1.033024976355946,1.2384671482075853,0.04627119281006995
China,Male,Incidence,45-49 years,47.0,40-44 years,2004-2008,1959,28.335628850767456,24.57586392138885,32.6705854547664,1.0551130323244078,0.9351881097974599,1.1904166651797077,0.06155892031257739
China,Male,Incidence,50-54 years,52.0,40-44 years,2004-2008,1959,29.651357701632065,25.68669781102019,34.2279502028064,1.104105862688745,0.9758530423461724,1.2492144853007634,0.06299954522807884
China,Male,Incidence,55-59 years,57.0,40-44 years,2004-2008,1959,30.787059378578792,26.59204734299504,35.6438529517668,1.1463951531961167,1.0093173655935577,1.3020898005640502,0.06497354233648217
