location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
United States of America,Male,DALYs,1974,1974.5,1959,0.9521960284752852,0.7088552925506592,1.2790724512779303
United States of America,Male,DALYs,1974,1974.5,1959,0.9521960284752877,0.708855292550661,1.279072451277934
United States of America,Male,DALYs,1979,1979.0,1959,0.9420789624300855,0.7191357992151863,1.2341379367039087
United States of America,Male,DALYs,1984,1984.0,1959,0.918948959713242,0.6968712752058602,1.211797961264207
United States of America,Male,DALYs,1989,1989.0,1959,0.8873967381430151,0.6671797379259025,1.1803010884517007
United States of America,Male,DALYs,1994,1994.0,1959,0.8559371308953323,0.6367116071134479,1.150643971085633
United States of America,Male,DALYs,1999,1999.0,1959,0.8287068119191213,0.608298350589742,1.128977218917902
United States of America,Male,DALYs,2004,2004.0,1959,0.8256298127001944,0.5969459389557598,1.1419201357024005
China,Male,Incidence,1924,1924.5,1959,1.0257467901284527,0.8727171055963505,1.2056100089156125
China,Male,Incidence,1929,1929.0,1959,1.0194383900619872,0.8684477477781023,1.1966806682279718
China,Male,Incidence,1930,1929.5,1959,1.0341326500195858,0.8808245733031707,1.214124094910377
China,Male,Incidence,1934,1934.5,1959,1.0145775288721803,0.8699519868018474,1.183246406363853
China,Male,Incidence,1934,1934.5,1959,1.0145775288721797,0.8699519868018467,1.1832464063638521
China,Male,Incidence,1939,1939.0,1959,1.0086900511559689,0.8678708801618055,1.1723582880339727
China,Male,Incidence,1940,1939.5,1959,1.034022437513223,0.881666243250986,1.2127065195762685
China,Male,Incidence,1944,1944.5,1959,1.0082626114010518,0.8697584027599865,1.1688228481878797
China,Male,Incidence,1944,1944.5,1959,1.0082626114010518,0.8697584027599863,1.1688228481878797
China,Male,Incidence,1949,1949.0,1959,0.9912645622242477,0.8641113267959514,1.137128286426986
China,Male,Incidence,1950,1949.5,1959,1.024853307977298,0.8755528804647494,1.199612640546041
China,Male,Incidence,1954,1954.5,1959,1.0007304659061418,0.8692968711284909,1.1520362015023258
China,Male,Incidence,1954,1954.5,1959,1.0007304659061405,0.8692968711284899,1.1520362015023244
China,Male,Incidence,1959,1959.0,1959,1.040526971283402,0.9442457531580976,1.1466256261646444
China,Male,Incidence,1960,1959.5,1959,1.0403886167107488,0.8892354866413464,1.2172349057611003
China,Male,Incidence,1964,1964.5,1959,1.0281245893703683,0.8945180176832698,1.181686841820848
China,Male,Incidence,1964,1964.5,1959,1.0281245893703688,0.8945180176832702,1.1816868418208484
China,Male,Incidence,1969,1969.0,1959,1.0301202237083373,0.9101484161915123,1.1659061933363069
